signal_date,ticker,signal_type,signal_direction,llm_direction,signal_price,catalyst_tag,news_tone,trade_frame_scenario,conviction,raw_conviction,action,regime,sub_regime,factors_json,factor_reasoning_json,confidence_meta_json,return_1d,return_5d,return_20d,evaluated_1d,evaluated_5d,evaluated_20d,barrier_label,barrier_hit_day,barrier_return,barrier_date
2026-04-12,KO,10-K,bull,,77.47,실적,bullish,"실적 전까지 76.14달러에서 78.80달러 사이, 즉 현재가 ±1 ATR 구간에서 좁은 박스권 흐름이 유력합니다. RVOL 0.61x는 급등보다 완만한 수급을 시사합니다.",,,,,,,,,+0.00%,-2.23%,+1.23%,True,True,True,stop,1,-2.00%,2026-04-13
2026-04-12,PLUG,takeaway,bull,,2.74,일반 이슈,bearish,"실적 전까지 2.55달러에서 2.93달러 사이, 즉 현재가 ±1 ATR 구간에서 넓은 박스권이 유력합니다. 고IV와 공매도 비중이 공존해 방향성보다는 변동성 매매가 적합합니다.",,,,,,,,,+0.00%,+1.46%,+13.87%,True,True,True,hit,1,+3.00%,2026-04-13
2026-04-12,T,10-K,bull,,26.46,실적,neutral,"실적 전까지 25.82달러에서 27.74달러 사이, 즉 현재가 ±1 ATR 구간에서 횡보 가능성이 큽니다. 25달러 MaxPain 자석이 하단을 지지할 수 있습니다.",,,,,,,,,-0.00%,+0.19%,-4.91%,True,True,True,stop,1,-2.00%,2026-04-13
2026-04-12,XOM,8-K,bull,,152.51,기타 공시,neutral,"실적 전까지 147.07달러에서 160.57달러 사이, 즉 현재가 ±1 ATR 구간에서 횡보 가능성이 큽니다. 최근 7일 약세를 감안하면 반등은 점진적일 가능성이 높습니다.",,,,,,,,,-0.00%,-3.98%,-5.21%,True,True,True,stop,2,-2.00%,2026-04-14
2026-04-13,AAPL,10-Q,bull,,259.20,실적,neutral,현재가 기준 ±1 ATR인 253.30-265.10 USD에서 실적 전까지 횡보할 가능성이 큽니다.,58,58,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 10, ""news_tone"": 0, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 12}",{},{},-0.14%,+5.34%,+12.92%,True,True,True,hit,3,+3.00%,2026-04-16
2026-04-13,AMD,8-K,bull,,246.83,기타 공시,neutral,현재가 기준 ±1 ATR인 236.16-257.50 USD에서 고점권 소화가 이어질 가능성이 큽니다.,61,61,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 18, ""news_tone"": 0, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 6}",{},{},+3.34%,+11.39%,+85.87%,True,True,True,hit,1,+3.00%,2026-04-14
2026-04-13,CAT,8-K,bull,,791.73,기타 공시,neutral,현재가 기준 ±1 ATR인 766.40-817.06 USD에서 고점권 박스 흐름이 이어질 가능성이 높습니다.,62,62,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 6, ""fundamentals"": 10, ""momentum"": 18, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 8}",{},{},+0.32%,+0.84%,+17.06%,True,True,True,stop,2,-2.00%,2026-04-15
2026-04-13,IONQ,8-K,bull,,29.76,기타 공시,bullish,실적 전까지 28.00 USD~31.87 USD 범위의 고변동 박스권이 유력합니다.,52,52,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 5, ""momentum"": 2, ""news_tone"": 5, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 8}",{},{},+20.16%,+62.37%,+91.16%,True,True,True,hit,1,+3.00%,2026-04-14
2026-04-13,KO,10-K,bull,,76.41,실적,neutral,현재가 기준 ±1 ATR인 75.03-77.79 USD에서 좁은 박스 흐름이 이어질 가능성이 큽니다.,52,52,watch,risk_on,,"{""catalyst_recency"": 10, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 5, ""news_tone"": 0, ""regime_adjustment"": 5, ""signal_track_record"": 0, ""valuation"": 12}",{},{},-0.67%,-1.22%,+2.94%,True,True,True,stop,2,-2.00%,2026-04-15
2026-04-13,ORA,10-K,bull,,112.28,실적,neutral,실적 전까지 111.01 USD~115.25 USD 범위의 박스권 흐름이 가장 유력합니다.,50,50,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 7, ""news_tone"": 0, ""regime_adjustment"": 5, ""signal_track_record"": 0, ""valuation"": 8}",{},{},+2.19%,-0.52%,+10.11%,True,True,True,hit,2,+3.00%,2026-04-15
2026-04-13,OXY,8-K,neutral,,58.06,기타 공시,neutral,실적 전까지 55.62 USD~60.77 USD 구간에서 박스권 흐름이 우세할 수 있습니다.,59,59,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 10, ""fundamentals"": 8, ""momentum"": 10, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 8}",{},{},-4.62%,-6.17%,-5.03%,True,True,True,stop,1,-2.00%,2026-04-14
2026-04-13,PLUG,10-K,bull,,2.77,실적,neutral,실적 전까지 2.60 USD~2.93 USD 범위에서 고변동 박스권이 이어질 수 있습니다.,61,61,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 6, ""fundamentals"": 5, ""momentum"": 18, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 10}",{},{},+6.14%,+16.25%,+27.08%,True,True,True,hit,1,+3.00%,2026-04-14
2026-04-13,SPIR,10-K,bear,,23.14,실적,bearish,실적 전까지 21.79 USD~25.31 USD의 높은 변동성 박스권이 유력합니다.,60,60,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 6, ""fundamentals"": 2, ""momentum"": 20, ""news_tone"": -3, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 8}",{},{},-10.37%,-21.56%,-19.36%,True,True,True,hit,1,-2.00%,2026-04-14
2026-04-13,T,10-K,bull,,25.61,실적,neutral,실적 전까지 25.00 USD~26.25 USD 범위에서 과매도 반등 시도가 이어질 수 있습니다.,54,54,watch,risk_on,,"{""catalyst_recency"": 10, ""earnings_pattern"": 0, ""fundamentals"": 4, ""momentum"": 2, ""news_tone"": 0, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 12}",{},{},+0.04%,+2.23%,-2.89%,True,True,True,stop,1,-2.00%,2026-04-14
2026-04-13,XOM,8-K,bull,,152.64,기타 공시,bearish,현재가 기준 ±1 ATR인 146.70-158.58 USD에서 실적 전까지 횡보할 가능성이 큽니다.,52,52,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 5, ""news_tone"": -5, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 14}",{},{},-2.23%,-3.25%,-1.94%,True,True,True,stop,1,-2.00%,2026-04-14
2026-04-14,AAPL,10-Q,bull,,258.83,실적,neutral,현재가 기준 ±1 ATR인 252.97-264.69 USD 구간에서 실적 전까지 박스권 소화 가능성이 높습니다. RVOL 0.83x라 급격한 추세 확장보다는 제한적 등락이 우세합니다.,56,56,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 8, ""news_tone"": 0, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 10}",{},{},+2.94%,+2.84%,+13.90%,True,True,True,hit,2,+3.00%,2026-04-16
2026-04-14,AMD,8-K,bull,,255.07,기타 공시,neutral,현재가 기준 ±1 ATR인 244.15-265.99 USD 범위에서 고점 소화가 우세할 가능성이 큽니다. RVOL 0.66x라 급격한 돌파보다 횡보 후 재시도 시나리오가 더 유력합니다.,60,60,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 17, ""news_tone"": 0, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 6}",{},{},+1.20%,+11.53%,+75.75%,True,True,True,hit,2,+3.00%,2026-04-16
2026-04-14,CAT,8-K,bull,,794.25,기타 공시,neutral,현재가 기준 ±1 ATR인 769.78-818.72 USD 범위에서 고점권 박스 흐름이 예상됩니다. RVOL 0.64x라 추세 추종보다 제한적 등락 가능성이 높습니다.,61,61,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 5, ""fundamentals"": 10, ""momentum"": 17, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 8}",{},{},-3.03%,+0.78%,+14.84%,True,True,True,stop,1,-2.00%,2026-04-15
2026-04-14,IONQ,8-K,bull,,35.76,기타 공시,bullish,실적 전까지 32.98-38.20 USD 범위에서 고변동 박스권이 이어질 가능성이 큽니다.,59,59,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 3, ""fundamentals"": 5, ""momentum"": 12, ""news_tone"": 5, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 6}",{},{},+20.95%,+29.42%,+56.24%,True,True,True,hit,1,+3.00%,2026-04-15
2026-04-14,KO,10-K,bull,,75.90,실적,neutral,현재가 기준 ±1 ATR인 74.53-77.27 USD 범위에서 실적 전까지 좁은 박스 흐름이 예상됩니다. RVOL 0.69x와 5.3% BB 폭을 감안하면 큰 추세보다 범위 매매가 적합합니다.,55,55,watch,risk_on,,"{""catalyst_recency"": 10, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 10, ""news_tone"": 0, ""regime_adjustment"": 5, ""signal_track_record"": 0, ""valuation"": 12}",{},{},-0.78%,-1.58%,+5.44%,True,True,True,hit,10,+3.00%,2026-04-28
2026-04-14,ORA,10-K,bull,,114.74,실적,neutral,실적 전까지 113.93-116.07 USD 범위의 좁은 박스권이 유력합니다.,55,55,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 17, ""news_tone"": 0, ""regime_adjustment"": 5, ""signal_track_record"": 0, ""valuation"": 8}",{},{},-0.81%,-5.74%,+9.99%,True,True,True,stop,2,-2.00%,2026-04-16
2026-04-14,OXY,8-K,bull,,55.38,기타 공시,neutral,실적 전까지 54.86-57.20 USD 범위의 제한적 횡보 가능성이 높습니다.,60,60,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 8, ""fundamentals"": 8, ""momentum"": 13, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 8}",{},{},+0.81%,+1.72%,+1.61%,True,True,True,hit,2,+3.00%,2026-04-16
2026-04-14,PLUG,10-K,bull,,2.94,실적,neutral,실적 전까지 2.71-3.14 USD 범위의 박스권 소화가 유력합니다.,58,58,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 5, ""fundamentals"": 5, ""momentum"": 17, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 8}",{},{},-0.34%,+4.76%,+21.09%,True,True,True,stop,1,-2.00%,2026-04-15
2026-04-14,SPIR,10-K,bull,,20.74,실적,neutral,실적 전까지 18.42-22.57 USD의 고변동 박스권 등락이 예상됩니다.,56,56,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 2, ""momentum"": 19, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 10}",{},{},-0.96%,-9.64%,-14.95%,True,True,True,stop,1,-2.00%,2026-04-15
2026-04-14,T,10-K,bull,,25.62,실적,neutral,실적 전까지 24.99-27.90 USD 범위에서 박스권 등락이 유력합니다.,60,60,watch,risk_on,,"{""catalyst_recency"": 15, ""earnings_pattern"": 0, ""fundamentals"": 4, ""momentum"": 3, ""news_tone"": 0, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 16}",{},{},-0.62%,+1.01%,-1.52%,True,True,True,hit,2,+3.00%,2026-04-16
2026-04-14,XOM,8-K,bull,,149.24,기타 공시,neutral,현재가 기준 ±1 ATR인 143.33-155.15 USD 범위에서 실적 전 박스권 흐름이 유력합니다. RVOL 0.80x와 RSI 37.8로 급격한 추세 전환보다는 제한적 반등/조정이 예상됩니다.,57,57,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 8, ""news_tone"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 14}",{},{},-0.15%,-0.59%,+0.93%,True,True,True,stop,3,-2.00%,2026-04-17
2026-04-15,AAPL,10-Q,bear,,266.43,실적,중립~강세,266.43 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,64,64,watch,risk_on,,"{""catalyst_recency"": 18, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 11, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": -6, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 12}",{},{},-1.14%,+2.53%,+11.93%,True,True,True,stop,6,+3.00%,2026-04-23
2026-04-15,AMD,8-K,bull,,258.12,기타 공시,neutral,258.12 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,59,59,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 17, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": -6, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 8}",{},{},+7.80%,+17.57%,+74.22%,True,True,True,hit,1,+3.00%,2026-04-16
2026-04-15,CAT,8-K,bear,,770.17,기타 공시,중립,770.17 USD 인근에서 반등 시도와 재차 흔들림이 반복될 가능성이 큽니다.,66,66,buy,risk_on,,"{""catalyst_recency"": 10, ""earnings_pattern"": 5, ""fundamentals"": 10, ""momentum"": 17, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 10}",{},{},+0.32%,+5.02%,+19.48%,True,True,True,hit,1,-2.00%,2026-04-16
2026-04-15,IONQ,8-K,bear,,43.25,기타 공시,강세,43.25 USD 부근 상승분을 소화하며 실적 전까지 추세 지속 여부를 점검하는 구간입니다.,59,59,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 3, ""fundamentals"": 5, ""momentum"": 16, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": -6, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 12}",{},{},+3.31%,+9.50%,+32.88%,True,True,True,hit,1,-2.00%,2026-04-16
2026-04-15,KO,10-K,bear,,75.31,실적,중립~약강세,75.31 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,60,60,watch,risk_on,,"{""catalyst_recency"": 18, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 10, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 5, ""signal_track_record"": 0, ""valuation"": 10}",{},{},-0.17%,-0.90%,+6.83%,True,True,True,stop,9,+3.00%,2026-04-28
2026-04-15,ORA,10-K,bull,,113.81,실적,neutral,113.81 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,61,61,watch,risk_on,,"{""catalyst_recency"": 13, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 14, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 5, ""signal_track_record"": 0, ""valuation"": 10}",{},{},-1.13%,-5.98%,+19.01%,True,True,True,stop,1,-2.00%,2026-04-16
2026-04-15,OXY,8-K,bear,,55.83,기타 공시,중립,55.83 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,61,61,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 8, ""fundamentals"": 8, ""momentum"": 13, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 10}",{},{},+1.86%,+2.19%,+1.81%,True,True,True,hit,2,-2.00%,2026-04-17
2026-04-15,PLUG,10-K,bear,,2.93,실적,bullish,2.93 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,68,68,buy,risk_on,,"{""catalyst_recency"": 13, ""earnings_pattern"": 5, ""fundamentals"": 5, ""momentum"": 17, ""news_tone"": 5, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 10}",{},{},-2.39%,+8.87%,+29.35%,True,True,True,hit,1,-2.00%,2026-04-16
2026-04-15,SPIR,10-K,bull,,20.54,실적,bearish,20.54 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,60,60,watch,risk_on,,"{""catalyst_recency"": 13, ""earnings_pattern"": 0, ""fundamentals"": 2, ""momentum"": 19, ""news_tone"": -3, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 8}",{},{},+3.75%,-11.05%,-11.30%,True,True,True,hit,1,+3.00%,2026-04-16
2026-04-15,T,10-K,bear,,25.46,실적,bearish,25.46 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,59,59,watch,risk_on,,"{""catalyst_recency"": 20, ""earnings_pattern"": 0, ""fundamentals"": 4, ""momentum"": 3, ""news_tone"": -3, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 15, ""signal_track_record"": 0, ""valuation"": 12}",{},{},+3.69%,+2.04%,-3.18%,True,True,True,stop,1,+3.00%,2026-04-16
2026-04-15,XOM,8-K,bear,,149.01,기타 공시,bullish,149.01 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,58,58,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 8, ""news_tone"": 5, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 12}",{},{},+1.99%,+0.33%,+2.53%,True,True,True,hit,2,-2.00%,2026-04-17
2026-04-17,AAPL,10-Q,bull,,270.23,실적,bullish,270.23 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,72,72,buy,risk_on,,"{""catalyst_recency"": 18, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 9, ""news_tone"": 5, ""peer_rank"": 0, ""portfolio_risk"": -6, ""regime_adjustment"": 15, ""signal_track_record"": 15, ""valuation"": 12}",{},{},+1.04%,+0.31%,+10.22%,True,True,True,hit,10,+3.00%,2026-05-01
2026-04-17,AMD,8-K,bear,,278.39,기타 공시,중립-약세,278.39 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,67,67,buy,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 17, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": -6, ""regime_adjustment"": 15, ""signal_track_record"": 15, ""valuation"": 8}",{},{},-1.24%,+24.94%,+51.22%,True,True,True,hit,1,-2.00%,2026-04-20
2026-04-17,CAT,8-K,bull,,794.65,기타 공시,neutral,794.65 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,74,74,buy,risk_on,,"{""catalyst_recency"": 10, ""earnings_pattern"": 5, ""fundamentals"": 10, ""momentum"": 17, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 15, ""valuation"": 10}",{},{},+0.47%,+4.55%,+8.72%,True,True,True,hit,2,+3.00%,2026-04-21
2026-04-17,IONQ,8-K,bull,,46.09,기타 공시,bullish,46.09 USD 부근 상승분을 소화하며 실적 전까지 추세 지속 여부를 점검하는 구간입니다.,69,69,buy,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 3, ""fundamentals"": 5, ""momentum"": 16, ""news_tone"": 5, ""peer_rank"": 0, ""portfolio_risk"": -6, ""regime_adjustment"": 15, ""signal_track_record"": 15, ""valuation"": 12}",{},{},+4.84%,-7.38%,+6.99%,True,True,True,hit,1,+3.00%,2026-04-20
2026-04-17,KO,10-K,bull,,75.74,실적,neutral,75.74 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,55,55,watch,risk_on,,"{""catalyst_recency"": 18, ""earnings_pattern"": 0, ""fundamentals"": 8, ""momentum"": 10, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 5, ""signal_track_record"": -10, ""valuation"": 10}",{},{},-0.34%,+1.18%,+7.21%,True,True,True,hit,7,+3.00%,2026-04-28
2026-04-17,ORA,10-K,bear,,113.04,실적,중립-강세,113.04 USD 부근에서 방향성 확인 전까지 박스권 등락 가능성이 큽니다.,60,60,watch,risk_on,,"{""catalyst_recency"": 13, ""earnings_pattern"": 0, ""fundamentals"": 10, ""momentum"": 12, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 5, ""signal_track_record"": 0, ""valuation"": 10}",{},{},-1.19%,+0.28%,+14.33%,True,True,True,hit,2,-2.00%,2026-04-21
2026-04-17,OXY,8-K,bear,,53.79,기타 공시,중립-약세,53.79 USD 인근에서 반등 시도와 재차 흔들림이 반복될 가능성이 큽니다.,59,59,watch,risk_on,,"{""catalyst_recency"": 5, ""earnings_pattern"": 8, ""fundamentals"": 8, ""momentum"": 8, ""news_tone"": 0, ""peer_rank"": 0, ""portfolio_risk"": 0, ""regime_adjustment"": 10, ""signal_track_record"": 0, ""valuation"": 12}",{},{},+1.28%,+6.19%,+10.99%,True,True,True,stop,2,+3.00%,2026-04-21
